PN;Assignee Name;Micron;IBM;Samsung;Toshiba;mean_cumulative_incl_unigram_red_linkage;mean_cumulative_incl_unigram_compl_linkage;mean_cumulative_incl_bigram_red_linkage;mean_cumulative_incl_bigram_compl_linkage;mean_preclusive_incl_unigram_red_linkage;mean_preclusive_incl_unigram_compl_linkage;mean_preclusive_incl_bigram_red_linkage;mean_preclusive_incl_bigram_compl_linkage;filing_year;grant_year
6048781;Micron Technology;1;0;0;0;0,159090909;0,251612903;0;0;6,934472947;5,715396692;279,7499991;759,4747475;1998;2000
6049093;Micron Technology;1;0;0;0;0,214285714;0,28962818;0;0;4,58027149;2,547715793;218,8333333;583,8999999;1998;2000
6051149;Micron Technology;1;0;0;0;0,390931373;0,463702749;0,047385621;0,053846154;9,876190486;7,615771495;504;1424;1998;2000
6051449;Micron Technology;1;0;0;0;0,544871795;0,630952381;0,173611111;0,226415095;3,714285717;2,800000001;23,99999981;15,14285711;1997;2000
6051480;Micron Technology;1;0;0;0;0,212121212;0,263157895;0;0;4,323076914;4,252446991;64,00757559;150,7384246;1997;2000
6051501;Micron Technology;1;0;0;0;0;0;0;0;6,450617285;4,047609254;253,0000004;692,8888853;1996;2000
6051502;Micron Technology;1;0;0;0;0;0;0;0;2,5;2,407692309;17,00000012;13,33333333;1997;2000
6051511;Micron Technology;1;0;0;0;0,324074074;0,680073607;0,062236287;0,082044673;6,512175323;1,953290369;125,6944439;277,2111113;1997;2000
6054172;Micron Technology;1;0;0;0;0,309895833;0,426997245;0,03525641;0,041381278;8,158091481;15,35059949;215,8461541;574,1425521;1999;2000
6054173;Micron Technology;1;0;0;0;0,298387097;0,472826087;0,066037736;0,099236641;4,498466809;2,865555574;144,7708332;367,9634379;1997;2000
6054191;Micron Technology;1;0;0;0;0,333846154;0,437507947;0,055429864;0,063492063;4,526515152;3,630251866;47,60000045;42,47999966;1998;2000
6054334;Micron Technology;1;0;0;0;0,248366013;0,377473364;0,032258065;0,036363637;4,304274891;2,741274214;228,9444444;609,2476851;1997;2000
6054395;Micron Technology;1;0;0;0;0;0;0;0;9,964444442;7,890141386;418,2000004;1149,466667;1997;2000
6054396;Micron Technology;1;0;0;0;0,267882188;0,256134309;0,041248607;0,046195652;3,875000002;4,391304353;181,0000001;492,4444444;1997;2000
6054768;Micron Technology;1;0;0;0;0,398989899;0,58306538;0,054545454;0,070874862;5,585185971;2,796300755;103,6410263;181,3613267;1997;2000
6057176;Micron Technology;1;0;0;0;0;0;0;0;5,696428587;10,76388889;26,24999985;30,44444463;1998;2000
6057198;Micron Technology;1;0;0;0;0,295454545;0,49512987;0,031818182;0,022727273;2,588235297;1,714922049;7,857142874;10,50000003;1998;2000
6057200;Micron Technology;1;0;0;0;0,314814815;0,424582701;0,037142857;0,045390071;4,374966134;2,993034132;66,15000033;102,6620236;1997;2000
6057231;Micron Technology;1;0;0;0;0,246440307;0,440214244;0,027597403;0,035353535;8,689549115;3,911833007;226,4156878;543,9119713;1999;2000
6057235;Micron Technology;1;0;0;0;0,96969697;0,996932515;0,20754717;0,286666667;4,262499997;3,037842961;269,6666663;753,2499981;1997;2000
6057238;Micron Technology;1;0;0;0;0,805555556;0,883333334;0,21875;0,227848101;5,142857155;2,068965519;64;157,9999981;1998;2000
6059879;Micron Technology;1;0;0;0;0;0;0;0;8,703003406;10,13821403;150,4444424;302,3727254;1997;2000
6060339;Micron Technology;1;0;0;0;0,217391304;0,202797203;0,008438819;0,008210181;8,684932917;6,339854778;224,4303916;610,5563803;1997;2000
6060343;Micron Technology;1;0;0;0;0,8;0,947876448;0,294117648;0,377094972;302;1153;504;1424;1999;2000
6060351;Micron Technology;1;0;0;0;0,314219114;0,519858782;0,051901999;0,067505828;3,848873855;2,083751111;126,5194442;306,1798527;1997;2000
6060355;Micron Technology;1;0;0;0;0,192982456;0,318784767;0,014187643;0,017378351;4,607216926;2,693617965;235,0833347;524,1333341;1998;2000
6060378;Micron Technology;1;0;0;0;0;0;0;0;5,526296547;3,5054974;162,0769226;393,0524514;1998;2000
6060386;Micron Technology;1;0;0;0;0,182999649;0,286302644;0,017948718;0,022612003;9,331727981;7,077197751;356,2500004;952,1833292;1997;2000
6060395;Micron Technology;1;0;0;0;0,200250313;0,259109807;0,01793909;0,027803159;6,574805206;5,102470032;368,1000001;1007,666667;1998;2000
6060783;Micron Technology;1;0;0;0;0,265086207;0,387403661;0,029569892;0,034048508;4,956341616;2,882916361;56,42000064;133,6564184;1999;2000
6063650;Micron Technology;1;0;0;0;0,123287671;0,131564088;0,009070295;0,010484928;6,417738801;7,80741954;73,49999941;160,9047606;1998;2000
6063656;Micron Technology;1;0;0;0;0,30270793;0,291022256;0,039256198;0,040618956;5,730388227;16,29329676;183,1031747;489,0739338;1997;2000
6063673;Micron Technology;1;0;0;0;0;0;0;0;2,650505051;1,37054292;20,99999991;14,86574063;1998;2000
6063700;Micron Technology;1;0;0;0;0,642857143;0,626086957;0,1875;0,217054264;302;1153;504;1424;1998;2000
6063705;Micron Technology;1;0;0;0;0,131060307;0,237964856;0,009866103;0,011521229;6,458908349;3,327419183;332,8088237;899,0318626;1998;2000
6063712;Micron Technology;1;0;0;0;0,234920635;0,402223834;0,054545454;0,050420168;24,5582006;54,47424316;350,8350001;958,811;1997;2000
6063713;Micron Technology;1;0;0;0;0,286377709;0,424148607;0,038947368;0,044388079;4,500566895;2,903260002;111,2857143;233,0714288;1997;2000
6066507;Micron Technology;1;0;0;0;0,346938776;0,520900322;0,062622309;0,077303649;5,419391023;3,637236638;199,8196429;543,5489764;1997;2000
6066509;Micron Technology;1;0;0;0;0,755102041;0,807630522;0,203030303;0,213545817;12,24999993;4,726848262;394,5000002;1080,55;1998;2000
6066514;Micron Technology;1;0;0;0;0,208235294;0,248086221;0,00711575;0,008249641;7,291666667;10,473913;504;1424;1997;2000
6066515;Micron Technology;1;0;0;0;0,331481481;0,411836735;0,039506173;0,038721804;4,848518629;4,074090286;235,3695653;631,8773008;1998;2000
6066517;Micron Technology;1;0;0;0;0;0;0;0;8;4,350877187;504;1424;1998;2000
6066528;Micron Technology;1;0;0;0;0,393236715;0,583042394;0,066959064;0,098177921;5,164583919;2,903499432;157,8638885;356,7562784;1994;2000
6066539;Micron Technology;1;0;0;0;0;0;0;0;6,25;4,377192979;59,9999988;267,0000251;1997;2000
6066544;Micron Technology;1;0;0;0;0;0;0;0;5,815109884;5,967876474;189,7812501;519,1312144;1998;2000
6066548;Micron Technology;1;0;0;0;0;0;0;0;6,966666674;3,341265316;276,5000003;744,1666676;1996;2000
6066549;Micron Technology;1;0;0;0;0,580645161;0,738461538;0,153846154;0,127272727;2,214285715;1,529411764;9,749999959;8,250000014;1997;2000
6066552;Micron Technology;1;0;0;0;0,695121951;0,742368742;0,174603175;0,177029361;3,327922076;2,139210284;26,24999979;34,84722184;1998;2000
6066553;Micron Technology;1;0;0;0;0;0;0;0;11,24999996;13,55580447;382,875;1074,583333;1997;2000
6066559;Micron Technology;1;0;0;0;0,178821879;0,222966119;0,015572859;0,022218565;8,439141421;7,370701256;190,1818176;446,8666652;1997;2000
6066576;Micron Technology;1;0;0;0;0,777777778;0,922330097;0,25;0,242857143;3,580357146;1,848948425;109,9999998;258,1503269;1997;2000
6067507;Micron Technology;1;0;0;0;0,446606335;0,754216142;0,03728714;0,041966427;10,2125947;5,924413901;248,0555535;546,8397373;1999;2000
6067680;Micron Technology;1;0;0;0;0,287037037;0,483630953;0,07751938;0,102564102;20,51868131;52,00252886;411,0737179;1153,594322;1998;2000
6068892;Micron Technology;1;0;0;0;0,260869565;0,233333333;0,042424242;0,04;3,791609981;2,453589822;21,21428573;20,38492072;1999;2000
6069028;Micron Technology;1;0;0;0;0,425204918;0,493377484;0,063844086;0,06208194;5,29188035;5,003457254;93,00000149;152,8222099;1998;2000
6069053;Micron Technology;1;0;0;0;0,397569445;0,444722222;0,085365854;0,099375;3,296618511;2,784683123;30,74999988;25,55555556;1997;2000
6069059;Micron Technology;1;0;0;0;0,202614379;0,38020202;0,034391535;0,049242424;6,799999978;14,47368423;504;1424;1997;2000
6069064;Micron Technology;1;0;0;0;0,292592593;0,297488584;0,050340136;0,072284644;3,756993009;4,127115007;113,9444447;265,7992059;1996;2000
6069075;Micron Technology;1;0;0;0;0,376811594;0,554913295;0,094444445;0,104166667;302;1153;504;1424;1998;2000
6069087;Micron Technology;1;0;0;0;0,215686275;0,348958333;0,014285714;0,024096386;5,363095236;2,796564005;52,50000044;34,58333306;1998;2000
6071754;Micron Technology;1;0;0;0;0,507692308;0,806649321;0,090780142;0,108686869;6,139490137;2,496439525;160,305555;369,6984132;1997;2000
6071757;Micron Technology;1;0;0;0;0;0;0;0;4,296607904;3,288054343;143,6785716;398,6300348;1998;2000
6071771;Micron Technology;1;0;0;0;0,414772727;0,551192993;0,086206897;0,094405594;4,561538458;3,223880485;255,625;715,7037037;1998;2000
6072236;Micron Technology;1;0;0;0;0,216384046;0,352273443;0,020563558;0,026449768;5,001127482;3,3819165;141,8340274;340,3926872;1996;2000
6074896;Micron Technology;1;0;0;0;0,290909091;0,505208333;0,028703704;0,028802589;7,187968425;15,9961541;209,9999997;521,6248822;1999;2000
6074902;Micron Technology;1;0;0;0;0,53;0,691935484;0,109090909;0,130054645;2,5;1,425287357;33,00000033;60,9999986;1997;2000
6074924;Micron Technology;1;0;0;0;0,362068965;0,335766424;0,087962963;0,078366446;302;1153;504;1424;1999;2000
6074926;Micron Technology;1;0;0;0;0,3;0,270983213;0,022727273;0,040540541;5,656249996;7,748182356;271,2499998;729,7291668;1997;2000
6074945;Micron Technology;1;0;0;0;0,286967419;0,345161771;0,041052632;0,043385491;4,827387197;3,939671292;363,9464286;1007,623341;1998;2000
6074953;Micron Technology;1;0;0;0;0;0;0;0;6,237995337;4,271656632;285,5000003;740,6666668;1998;2000
6074957;Micron Technology;1;0;0;0;0,35;0,485687023;0,138888889;0,113782051;7,124999987;8,988642484;379,5;1070,4375;1998;2000
6074960;Micron Technology;1;0;0;0;0,407692308;0,558443272;0,088709678;0,106944444;3,842341857;3,280571297;74,14117683;139,9215696;1997;2000
6075274;Micron Technology;1;0;0;0;0,472148541;0,687240903;0,101313321;0,097997892;3,106125819;2,25181955;117,1918719;305,4348572;1999;2000
6075278;Micron Technology;1;0;0;0;0,454166667;0,512444865;0,119047619;0,125;10;18,24137927;504;1424;1997;2000
6077723;Micron Technology;1;0;0;0;0,302933674;0,493236556;0,038621263;0,048234054;5,083333335;3,009703322;164,5208333;377,3253493;1998;2000
